DATAFLOW,LAST UPDATE,freq,currency,prod_veg,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2012,20.64,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2013,18.64,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2014,15.20,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2015,14.33,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2016,14.15,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2017,14.29,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2018,15.48,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2019,16.33,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DE,2020,15.95,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2009,10.07,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2010,12.49,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2011,17.45,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2012,19.96,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2013,15.59,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2014,13.52,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2015,14.27,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2016,12.80,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2017,13.20,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2018,16.30,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2019,15.56,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,DK,2020,15.35,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2009,6.95,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2010,10.50,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2011,14.74,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2012,16.81,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2013,11.08,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2014,11.02,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2015,11.80,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2016,10.54,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2017,10.68,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2018,13.86,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2019,12.44,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EE,2020,12.27,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2009,21.91,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2010,18.26,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2011,18.05,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2012,18.4,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2013,18.27,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2014,16.44,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2015,16.83,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2016,16.95,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2017,15.70,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2018,17.03,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2019,16.91,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,EL,2020,16.91,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2009,12.69,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2010,13.97,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2011,18.15,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2012,21.71,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2013,16.73,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2014,16.09,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2015,18.21,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2016,15.77,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2017,14.92,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2018,14.51,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2019,16.98,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,ES,2020,16.44,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FI,2009,8.64,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FI,2010,11.57,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FI,2011,16.61,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FI,2012,18.62,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FI,2013,16.93,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FI,2014,12.5,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FI,2015,13.49,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FI,2016,13.05,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FI,2017,13.66,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FI,2018,17.82,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FI,2019,17.28,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FI,2020,15.61,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FR,2009,7.52,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FR,2010,10.91,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FR,2011,20.60,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FR,2012,46.12,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FR,2013,33.78,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FR,2014,26,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FR,2015,29.50,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,FR,2016,35.00,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HR,2011,17.32,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HR,2012,16.18,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HR,2013,14.26,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HR,2014,14.4,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HR,2015,14.00,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HR,2016,12.46,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HR,2017,11.63,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HR,2018,12.22,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HR,2019,12.72,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HR,2020,12.23,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HU,2009,9.61,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HU,2010,12.43,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HU,2011,16.67,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HU,2012,19.22,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HU,2013,16.06,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HU,2014,16.65,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HU,2015,13.79,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HU,2016,12.93,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HU,2017,12.87,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HU,2018,15.31,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HU,2019,16.14,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,HU,2020,14.09,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IE,2009,11.28,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IE,2011,16.27,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IE,2012,21.23,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IE,2013,,c
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IE,2014,,c
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IE,2015,12.98,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IE,2016,12.73,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IE,2017,13.27,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IE,2018,20.31,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IE,2019,14.08,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IE,2020,14.59,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IT,2009,18.36,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IT,2010,17.91,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IT,2011,23.95,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IT,2012,23.83,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IT,2013,18.81,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IT,2014,19.58,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IT,2015,22.43,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IT,2016,18.98,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IT,2017,17.64,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IT,2018,23.07,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IT,2019,22.74,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,IT,2020,21.41,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LT,2009,5.91,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LT,2010,8.88,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LT,2011,15.90,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LT,2012,16.07,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LT,2013,11.78,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LT,2014,10.01,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LT,2015,12.11,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LT,2016,12.21,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LT,2017,11.55,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LT,2018,14.37,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LT,2019,12.76,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LT,2020,11.92,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LU,2009,6.67,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LU,2010,9.5,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LU,2011,15.25,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LU,2012,18,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LU,2013,12.78,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LU,2014,10.21,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LU,2015,11.73,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LU,2016,13.18,
ESTAT:TAG00061(1.0),05/07/21 23:00:00,A,EUR,01400000,LU,2017,12.58,
